,Steps_m,Calories_m,METs_m,Intensity_m,Calories_d,StepTotal_d,ID_d,DATA_LOST,SYNCH,Date
2020-09-23,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-23
2020-09-24,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-24
2020-09-25,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-25
2020-09-26,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-26
2020-09-27,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-27
2020-09-28,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-28
2020-09-29,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-29
2020-09-30,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-09-30
2020-10-01,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-01
2020-10-02,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-02
2020-10-03,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-03
2020-10-04,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-04
2020-10-05,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-05
2020-10-06,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-06
2020-10-07,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-07
2020-10-08,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-08
2020-10-09,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-09
2020-10-10,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-10
2020-10-11,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-11
2020-10-12,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-12
2020-10-13,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-13
2020-10-14,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,False,2020-10-14
2020-10-15,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-15
2020-10-16,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-16
2020-10-17,0,1353.8879585266175,0.9,0.0,1353,0,Fitbit sample 1,False,True,2020-10-17
2020-10-18,0,1353.8879585266175,0.9,0.0,1353,3857,Fitbit sample 1,True,True,2020-10-18
2020-10-19,4019,1641.9652438163812,1.1063888888888889,0.09027777777777778,1641,4019,Fitbit sample 1,False,True,2020-10-19
2020-10-20,7069,1863.4763675928164,1.2659722222222223,0.15347222222222223,1863,7069,Fitbit sample 1,False,True,2020-10-20
2020-10-21,4660,1737.4895672798207,1.1760416666666667,0.1125,1737,4660,Fitbit sample 1,False,True,2020-10-21
2020-10-22,16193,2451.19540202618,1.684861111111111,0.34305555555555556,2451,16193,Fitbit sample 1,False,True,2020-10-22
2020-10-23,8990,1907.0076266527226,1.2934027777777777,0.1909722222222222,1907,8990,Fitbit sample 1,False,True,2020-10-23
2020-10-24,12425,2096.4579278230713,1.427361111111111,0.25277777777777777,2096,12425,Fitbit sample 1,False,True,2020-10-24
2020-10-25,9610,1993.0359296798752,1.3570833333333334,0.1951388888888889,1993,9610,Fitbit sample 1,False,True,2020-10-25
2020-10-26,7661,1875.1348491907165,1.2725,0.16180555555555556,1875,7661,Fitbit sample 1,False,True,2020-10-26
2020-10-27,8934,1939.068449258809,1.317638888888889,0.17152777777777778,1939,8934,Fitbit sample 1,False,True,2020-10-27
2020-10-28,6387,1815.7142080068636,1.2309722222222221,0.15763888888888888,1817,6393,Fitbit sample 1,False,True,2020-10-28
2020-10-29,5514,1810.8251694440885,1.2291666666666667,0.15138888888888888,1810,5514,Fitbit sample 1,False,True,2020-10-29
